time,ID,acceleration,velocity,position,collisions
0.0,1,0,"Point(28.0, 0.0)","Point(120.0, 62.5)",0
0.0,2,0,"Point(28.0, 0.0)","Point(140.0, 57.0)",0
0.0,3,0,"Point(29.0, 0.0)","Point(130.0, 72.5)",0
0.0,4,0,"Point(28.0, 0.0)","Point(110.0, 68.0)",0
0.0,5,0,"Point(30.0, 0.0)","Point(140.0, 68.0)",0
0.0,6,0,"Point(30.0, 0.0)","Point(240.0, 57.5)",0
0.1,1,-0.06,"Point(-25.0, 3.061616997868383e-15)","Point(117.35, 62.5)",0
0.1,2,-0.06,"Point(-25.0, 3.061616997868383e-15)","Point(137.35, 57.0)",0
0.1,3,-0.06,"Point(-25.0, 3.061616997868383e-15)","Point(127.3, 72.5)",0
0.1,4,-0.06,"Point(-25.0, 3.061616997868383e-15)","Point(107.35, 68.0)",0
0.1,5,-2.06,"Point(-25.0, 3.061616997868383e-15)","Point(137.25, 68.0)",0
0.1,6,-0.06,"Point(-25.0, 3.061616997868383e-15)","Point(237.25, 57.5)",0
0.2,1,-0.06,"Point(-24.994, 3.0608822097888947e-15)","Point(114.85029999999999, 62.5)",0
0.2,2,-0.06,"Point(-24.994, 3.0608822097888947e-15)","Point(134.8503, 57.0)",0
0.2,3,-0.06,"Point(-24.994, 3.0608822097888947e-15)","Point(124.8003, 72.5)",0
0.2,4,-0.06,"Point(-24.994, 3.0608822097888947e-15)","Point(104.85029999999999, 68.0)",0
0.2,5,-4.12,"Point(-24.588, 3.011161549743512e-15)","Point(134.7706, 68.0)",0
0.2,6,-0.06,"Point(-24.994, 3.0608822097888947e-15)","Point(234.7503, 57.5)",0
0.30000000000000004,1,-0.06,"Point(-24.988, 3.0601474217094063e-15)","Point(112.35119999999999, 62.5)",0
0.30000000000000004,2,-0.06,"Point(-24.988, 3.0601474217094063e-15)","Point(132.3512, 57.0)",0
0.30000000000000004,3,-0.06,"Point(-24.988, 3.0601474217094063e-15)","Point(122.3012, 72.5)",0
0.30000000000000004,4,-0.06,"Point(-24.988, 3.0601474217094063e-15)","Point(102.35119999999999, 68.0)",0
0.30000000000000004,5,-4.12,"Point(-24.176000000000002, 2.9607061016186415e-15)","Point(132.3324, 68.0)",0
0.30000000000000004,6,-0.06,"Point(-24.988, 3.0601474217094063e-15)","Point(232.2512, 57.5)",0
0.4,1,-0.06,"Point(-24.982, 3.059412633629918e-15)","Point(109.8527, 62.5)",0
0.4,2,-0.06,"Point(-24.982, 3.059412633629918e-15)","Point(129.8527, 57.0)",0
0.4,3,-0.06,"Point(-24.982, 3.059412633629918e-15)","Point(119.80269999999999, 72.5)",0
0.4,4,-0.06,"Point(-24.982, 3.059412633629918e-15)","Point(99.8527, 68.0)",0
0.4,5,-4.12,"Point(-23.764000000000003, 2.9102506534937705e-15)","Point(129.93540000000002, 68.0)",0
0.4,6,-0.06,"Point(-24.982, 3.059412633629918e-15)","Point(229.7527, 57.5)",0
0.5,1,-0.06,"Point(-24.976, 3.058677845550429e-15)","Point(107.3548, 62.5)",0
0.5,2,-0.06,"Point(-24.976, 3.058677845550429e-15)","Point(127.3548, 57.0)",0
0.5,3,-0.06,"Point(-24.976, 3.058677845550429e-15)","Point(117.30479999999999, 72.5)",0
0.5,4,-0.06,"Point(-24.976, 3.058677845550429e-15)","Point(97.3548, 68.0)",0
0.5,5,-4.12,"Point(-23.352000000000004, 2.8597952053689e-15)","Point(127.57960000000001, 68.0)",0
0.5,6,-0.06,"Point(-24.976, 3.058677845550429e-15)","Point(227.25480000000002, 57.5)",0
0.6,1,-0.06,"Point(-24.97, 3.0579430574709407e-15)","Point(104.8575, 62.5)",0
0.6,2,-0.06,"Point(-24.97, 3.0579430574709407e-15)","Point(124.8575, 57.0)",0
0.6,3,-0.06,"Point(-24.97, 3.0579430574709407e-15)","Point(114.80749999999999, 72.5)",0
0.6,4,-0.06,"Point(-24.97, 3.0579430574709407e-15)","Point(94.8575, 68.0)",0
0.6,5,-4.12,"Point(-22.940000000000005, 2.809339757244029e-15)","Point(125.26500000000001, 68.0)",0
0.6,6,-0.06,"Point(-24.97, 3.0579430574709407e-15)","Point(224.75750000000002, 57.5)",0
0.7,1,-0.06,"Point(-24.964, 3.0572082693914523e-15)","Point(102.3608, 62.5)",0
0.7,2,-0.06,"Point(-24.964, 3.0572082693914523e-15)","Point(122.3608, 57.0)",0
0.7,3,-0.06,"Point(-24.964, 3.0572082693914523e-15)","Point(112.31079999999999, 72.5)",0
0.7,4,-0.06,"Point(-24.964, 3.0572082693914523e-15)","Point(92.3608, 68.0)",0
0.7,5,-4.12,"Point(-22.528000000000006, 2.758884309119158e-15)","Point(122.99160000000002, 68.0)",0
0.7,6,-0.06,"Point(-24.964, 3.0572082693914523e-15)","Point(222.26080000000002, 57.5)",0
0.7999999999999999,1,-0.06,"Point(-24.958, 3.056473481311964e-15)","Point(99.8647, 62.5)",0
0.7999999999999999,2,-0.06,"Point(-24.958, 3.056473481311964e-15)","Point(119.8647, 57.0)",0
0.7999999999999999,3,-0.06,"Point(-24.958, 3.056473481311964e-15)","Point(109.81469999999999, 72.5)",0
0.7999999999999999,4,-0.06,"Point(-24.958, 3.056473481311964e-15)","Point(89.8647, 68.0)",0
0.7999999999999999,5,-4.12,"Point(-22.116000000000007, 2.7084288609942873e-15)","Point(120.75940000000001, 68.0)",0
0.7999999999999999,6,-0.06,"Point(-24.958, 3.056473481311964e-15)","Point(219.7647, 57.5)",0
