time,ID,acceleration,velocity,position,collisions
0.0,1,0,"Point(29.0, 0.0)","Point(120.0, 62.5)",0
0.0,2,0,"Point(27.0, 0.0)","Point(140.0, 57.0)",0
0.0,3,0,"Point(26.0, 0.0)","Point(130.0, 72.5)",0
0.0,4,0,"Point(26.0, 0.0)","Point(110.0, 68.0)",0
0.0,5,0,"Point(28.0, 0.0)","Point(140.0, 68.0)",0
0.0,6,0,"Point(30.0, 0.0)","Point(240.0, 72.5)",0
0.1,1,-2.06,"Point(-25.0, 3.061616997868383e-15)","Point(117.3, 62.5)",0
0.1,2,-2.06,"Point(-25.0, 3.061616997868383e-15)","Point(137.4, 57.0)",0
0.1,3,-2.06,"Point(-25.0, 3.061616997868383e-15)","Point(127.45, 72.5)",0
0.1,4,-2.06,"Point(-25.0, 3.061616997868383e-15)","Point(107.45, 68.0)",0
0.1,5,-2.06,"Point(-25.0, 3.061616997868383e-15)","Point(137.35, 68.0)",0
0.1,6,-0.06,"Point(-25.0, 3.061616997868383e-15)","Point(237.25, 72.5)",0
0.2,1,-4.12,"Point(-24.588, 3.011161549743512e-15)","Point(114.8206, 62.5)",0
0.2,2,-4.12,"Point(-24.588, 3.011161549743512e-15)","Point(134.9206, 57.0)",0
0.2,3,-4.12,"Point(-24.588, 3.011161549743512e-15)","Point(124.9706, 72.5)",0
0.2,4,-4.12,"Point(-24.588, 3.011161549743512e-15)","Point(104.9706, 68.0)",0
0.2,5,-4.12,"Point(-24.588, 3.011161549743512e-15)","Point(134.8706, 68.0)",0
0.2,6,-0.06,"Point(-24.994, 3.0608822097888947e-15)","Point(234.7503, 72.5)",0
0.30000000000000004,1,-4.12,"Point(-24.176000000000002, 2.9607061016186415e-15)","Point(112.3824, 62.5)",0
0.30000000000000004,2,-4.12,"Point(-24.176000000000002, 2.9607061016186415e-15)","Point(132.4824, 57.0)",0
0.30000000000000004,3,-4.12,"Point(-24.176000000000002, 2.9607061016186415e-15)","Point(122.53240000000001, 72.5)",0
0.30000000000000004,4,-4.12,"Point(-24.176000000000002, 2.9607061016186415e-15)","Point(102.53240000000001, 68.0)",0
0.30000000000000004,5,-4.12,"Point(-24.176000000000002, 2.9607061016186415e-15)","Point(132.4324, 68.0)",0
0.30000000000000004,6,-0.06,"Point(-24.988, 3.0601474217094063e-15)","Point(232.2512, 72.5)",0
0.4,1,-4.12,"Point(-23.764000000000003, 2.9102506534937705e-15)","Point(109.9854, 62.5)",0
0.4,2,-4.12,"Point(-23.764000000000003, 2.9102506534937705e-15)","Point(130.08540000000002, 57.0)",0
0.4,3,-4.12,"Point(-23.764000000000003, 2.9102506534937705e-15)","Point(120.1354, 72.5)",0
0.4,4,-4.12,"Point(-23.764000000000003, 2.9102506534937705e-15)","Point(100.1354, 68.0)",0
0.4,5,-4.12,"Point(-23.764000000000003, 2.9102506534937705e-15)","Point(130.0354, 68.0)",0
0.4,6,-0.06,"Point(-24.982, 3.059412633629918e-15)","Point(229.7527, 72.5)",0
0.5,1,-4.12,"Point(-23.352000000000004, 2.8597952053689e-15)","Point(107.6296, 62.5)",0
0.5,2,-4.12,"Point(-23.352000000000004, 2.8597952053689e-15)","Point(127.72960000000002, 57.0)",0
0.5,3,-4.12,"Point(-23.352000000000004, 2.8597952053689e-15)","Point(117.7796, 72.5)",0
0.5,4,-4.12,"Point(-23.352000000000004, 2.8597952053689e-15)","Point(97.7796, 68.0)",0
0.5,5,-4.12,"Point(-23.352000000000004, 2.8597952053689e-15)","Point(127.67960000000001, 68.0)",0
